code_module,code_presentation,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,module_presentation_length,n_assessments_early,mean_score_early,weighted_mean_score_early,final_coursework_score,total_clicks_early,active_days_early,clicks_dataplus,clicks_dualpane,clicks_externalquiz,clicks_forumng,clicks_glossary,clicks_homepage,clicks_htmlactivity,clicks_oucollaborate,clicks_oucontent,clicks_ouelluminate,clicks_ouwiki,clicks_page,clicks_questionnaire,clicks_quiz,clicks_repeatactivity,clicks_resource,clicks_sharedsubpage,clicks_subpage,clicks_url,submission_rate_early,refs_forumng,macro_stats,clicks_freq_init
AAA,2013J,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass,-159.0,,268,2.0,81.5,82.66666667,82.4,587,23,0.0,0.0,0.0,126.0,0.0,80.0,0.0,0.0,348.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,23.0,1.0,0.3333333333,113.5691129375484,-0.6066849615230325,mid
AAA,2013J,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass,-53.0,,268,2.0,69.0,68.66666667,65.4,821,36,0.0,0.0,,283.0,0.0,187.0,0.0,0.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,63.0,35.0,0.3333333333,282.56284133408195,-1.3659393153030288,mid
AAA,2013J,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,-52.0,,268,2.0,71.5,71.33333333,76.3,992,51,0.0,0.0,0.0,260.0,,217.0,0.0,0.0,383.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,81.0,40.0,0.3333333333,260.41033739976353,0.7685016339965202,mid
AAA,2013J,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,-176.0,,268,2.0,49.5,43.0,55.0,684,35,0.0,0.0,0.0,160.0,2.0,126.0,0.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,33.0,6.0,0.3333333333,168.93210040409477,-1.3529923153354273,mid
AAA,2013J,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,-110.0,,268,2.0,74.0,72.33333333,66.9,1060,58,7.0,0.0,0.0,461.0,0.0,253.0,0.0,0.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,41.0,17.0,0.3333333333,450.3677856803787,-1.005766801135761,mid
AAA,2013J,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass,-67.0,,268,2.0,67.5,66.66666667,67.8,726,34,0.0,0.0,0.0,89.0,,152.0,0.0,2.0,399.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,63.0,14.0,0.3333333333,83.94748561968322,0.6557326333592671,mid
AAA,2013J,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-29.0,,268,2.0,72.0,72.0,72.5,663,39,0.0,0.0,0.0,245.0,,144.0,0.0,1.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,55.0,25.0,0.3333333333,244.69913780396152,1.6099727342840116,mid
AAA,2013J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass,-33.0,,268,2.0,70.0,69.33333333,71.2,770,49,0.0,0.0,0.0,142.0,,203.0,0.0,2.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,87.0,48.0,0.3333333333,140.03940723063235,0.5676557913793338,low
AAA,2013J,M,North Region,Post Graduate Qualification,,55<=,0,60,N,Pass,-179.0,,268,2.0,75.5,77.0,79.0,1242,55,0.0,0.0,,661.0,,166.0,0.0,0.0,319.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,56.0,36.0,0.3333333333,645.2285331777766,-0.3123284671673507,mid
AAA,2013J,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,-103.0,,268,2.0,72.0,73.33333333,74.0,778,45,0.0,0.0,,7.0,,204.0,0.0,0.0,437.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,85.0,43.0,0.3333333333,-7.511926834830291,-1.4526628292813768,mid
AAA,2013J,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-47.0,,268,2.0,73.5,73.66666667,73.7,809,44,0.0,0.0,0.0,167.0,,212.0,0.0,2.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,56.0,33.0,0.3333333333,167.39842320007423,0.2328137293263186,mid
AAA,2013J,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass,-68.0,,268,2.0,79.0,81.0,76.4,1566,62,0.0,0.0,,600.0,0.0,241.0,0.0,1.0,693.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,22.0,5.0,0.3333333333,597.9266525760587,1.5595564602478107,low
AAA,2013J,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass,-67.0,,268,2.0,62.5,55.66666667,71.2,1304,68,0.0,0.0,0.0,153.0,,258.0,0.0,0.0,717.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,109.0,64.0,0.3333333333,154.94375633251872,0.9812828183514312,low
AAA,2013J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn,-180.0,96.0,268,2.0,67.0,67.33333333,67.33333333,170,10,0.0,0.0,0.0,12.0,0.0,37.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,18.0,1.0,0.3333333333,14.408014523567378,0.344629197051979,low
AAA,2013J,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,-95.0,,268,2.0,59.5,59.66666667,53.5,551,25,1.0,0.0,0.0,77.0,,130.0,0.0,2.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,45.0,21.0,0.3333333333,86.16204697358276,-0.0723028209380363,mid
AAA,2013J,M,Ireland,HE Qualification,,35-55,0,60,N,Pass,-130.0,,268,2.0,84.0,84.66666667,79.7,1536,60,0.0,0.0,0.0,768.0,0.0,244.0,0.0,1.0,418.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,60.0,34.0,0.3333333333,764.5100968591261,0.4806689418930057,mid
AAA,2013J,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,150,N,Fail,-50.0,,268,2.0,39.0,32.0,46.85714286,76,7,0.0,0.0,0.0,6.0,0.0,23.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.3333333333,14.695039873613853,1.931359992105083,high
AAA,2013J,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,-27.0,,268,2.0,74.5,75.0,69.5,400,43,0.0,0.0,0.0,63.0,0.0,123.0,0.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,39.0,18.0,0.3333333333,59.5308441350929,-0.0170447143395677,low
AAA,2013J,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,Pass,-31.0,,268,2.0,74.5,74.33333333,69.0,775,50,0.0,0.0,0.0,3.0,,228.0,0.0,0.0,413.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,89.0,37.0,0.3333333333,7.13668384104594,0.772579164530691,low
AAA,2013J,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn,-170.0,72.0,268,1.0,74.0,74.0,74.0,339,24,0.0,0.0,0.0,12.0,,70.0,0.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,57.0,16.0,0.1666666667,21.137737589955407,-0.2878889309501409,low
AAA,2013J,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Pass,-107.0,,268,2.0,60.5,60.0,60.6,1681,44,2.0,0.0,0.0,31.0,0.0,263.0,0.0,0.0,1204.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,141.0,13.0,0.3333333333,19.160694097146475,0.0934042477293571,low
AAA,2013J,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-62.0,,268,2.0,65.5,66.33333333,68.7,388,27,3.0,0.0,,116.0,0.0,84.0,0.0,1.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,38.0,14.0,0.3333333333,114.87129235167798,-1.368270580131343,high
AAA,2013J,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,-103.0,,268,2.0,74.0,70.66666667,71.6,2146,54,14.0,0.0,,230.0,,340.0,0.0,0.0,1318.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,147.0,90.0,0.3333333333,224.54905854894952,-0.723356360747353,low
AAA,2013J,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,-107.0,,268,2.0,83.0,84.0,76.0,922,72,0.0,0.0,0.0,152.0,,254.0,0.0,0.0,466.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,43.0,1.0,0.3333333333,150.78295261486633,-0.3767700709445176,mid
AAA,2013J,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,-100.0,,268,2.0,73.0,72.0,77.1,490,18,0.0,0.0,,106.0,0.0,64.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,39.0,12.0,0.3333333333,110.33811593353104,-0.9263459530999492,low
AAA,2013J,M,Ireland,Post Graduate Qualification,,35-55,0,60,N,Pass,-109.0,,268,2.0,81.5,80.33333333,78.9,1823,55,1.0,0.0,0.0,283.0,0.0,368.0,0.0,5.0,942.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,139.0,68.0,0.3333333333,269.5236567792975,-0.7586239205403098,low
AAA,2013J,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass,-107.0,,268,2.0,54.0,53.0,54.2,392,18,0.0,0.0,0.0,48.0,0.0,107.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,33.0,0.0,0.3333333333,50.83845321123342,-0.4496272912105373,mid
AAA,2013J,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,Pass,-110.0,,268,2.0,63.5,62.66666667,63.7,468,35,0.0,0.0,0.0,30.0,0.0,123.0,0.0,0.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,72.0,25.0,0.3333333333,17.3294182068825,0.6805975467596422,mid
AAA,2013J,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass,-43.0,,268,1.0,80.0,80.0,81.5,1213,57,455.040746796896,0.0,0.0,147.0,1.0,240.0,0.0,2.0,714.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,74.0,22.0,0.1666666667,141.32443278714638,-1.2432234094682373,low
